no,entidad_federativa,anio,evento,tipo_fenomeno,instancia_corroboradora,documento_corroboracion,nombre_municipios_corroborados,numero_municipios_corroborados,instalacion_ced,sectores_afectados,fecha_publicacion_dof,publicacion_dof,entrega_resultados_ced,limite_para_entregar_diagnostico,oficio_entrega,observaciones,ultima_fecha_actualizacion
1,Jalisco,2019,Inundación fluvial el dos de junio de 2019,Hidrometeorológico,CONAGUA,B00.8.02.-085,San Gabriel,1,07/06/2019,"Educativo, Forestal y de Viveros, Hidráulico, Vial Urbano y Vivienda",18060,https://www.dof.gob.mx/nota_detalle.php?codigo=5562608&fecha=13/06/2019,18081,18092,SSPC/SPPPCCP/CNPC/DGGR/0007/2019; SSPC/SPPPCCP/CNPC/DGGR/0048/2019; SSPC/SPPPCCP/CNPC/DGGR/0034/2019; SSPC/SPPPCCP/CNPC/DGGR/0026/2019;,sin dato,2020
2,Tamaulipas,2019,Inundación fluvial y pluvial el 24 de junio de 2019,Hidrometeorológico,CONAGUA,B00.8.02.-117,Reynosa,1,28/06/2019,Educativo e Hidráulico,18081,https://www.dof.gob.mx/nota_detalle.php?codigo=5564906&fecha=04/07/2019,18102,18113,SSPC/SPPPCCP/CNPC/DGGR/0142/2019; SSPC/SPPPCCP/CNPC/DGGR/0228/2019,sin dato,2020
3,Chiapas,2019,Lluvia severa ocurrida el 17 de agosto de 2019,Hidrometeorológico,CONAGUA,B00.8.-586,Huixtla,1,26/08/2019,"Carretero, Educativo, Hidráulico, Pesquero y Acuícola, Vial Urbano y Vivienda",18138,https://www.dof.gob.mx/nota_detalle.php?codigo=5570849&fecha=30/08/2019,18145,18157,SSPC/SPPPCCP/CNPC/DGGR/0713/2019; SSPC/SPPPCCP/CNPC/DGGR/0575/2019,sin dato,2020
4,Veracruz,2019,Movimiento de ladera el 23 de agosto de 2019,Geológico,CENAPRED,E00-DG/1576/2019,Acultzingo,1,30/08/2019,"Forestal y de Viveros, Vial Urbano y Vivienda",18144,https://www.dof.gob.mx/nota_detalle.php?codigo=5571330&fecha=05/09/2019,18166,18177,SSPC/SPPPCCP/CNPC/DGGR/01143/2019; SSPC/SPPPCCP/CNPC/DGGR/01110/2019,sin dato,2020
5,Nuevo León,2019,Lluvia severa e inundación pluvial y fluvial el 4 de septiembre de 2019,Hidrometeorológico,CONAGUA,B00.8.-604,"Abasolo, Allende, Apodaca, Bustamante, Cadereyta de Jiménez, El Carmen, China, Ciénega de Flores, Doctor González, Galeana, García, General Bravo, General Escobedo, General Terán, General Zuazua, Guadalupe, Higueras, Hidalgo, Hualahuises, Iturbide, Juárez, Linares, Los Ramones, Marín, Mina, Montemorelos, Monterrey, Pesquería, Rayones, Salinas Victoria, San Nicolás de los Garza, San Pedro Garza García, Santa Catarina, Santiago",34,13/09/2019,"Carretero, Educativo, Salud, Vial Urbano y Vivienda",18159,https://www.dof.gob.mx/nota_detalle.php?codigo=5573052&fecha=20/09/2019,18180,18191,SSPC/SPPPCCP/CNPC/DGGR/01286/2019; SSPC/SPPPCCP/CNPC/DGGR/01210/2019; SSPC/SPPPCCP/CNPC/DGGR/01297/2019; SSPC/SPPPCCP/CNPC/DGGR/01258/2019,sin dato,2020
6,Chiapas,2019,Inundación fluvial el 16 de septiembre de 2019,Hidrometeorológico,CONAGUA,B00.8.-613,Tapachula,1,19/09/2019,"Carretero, Educattivo, Hidráulico, Naval, Vial Urbano",18164,https://www.dof.gob.mx/nota_detalle.php?codigo=5573466&fecha=25/09/2019,18171,18180,SSPC/SPPPCCP/CNPC/DGGR/01083/2019; SSPC/SPPPCCP/CNPC/DGGR/01142/2019; SSPC/SPPPCCP/CNPC/DGGR/01032/2019,sin dato,2020
7,Chiapas,2019,Inundación fluvial el 18 de septiembre de 2019,Hidrometeorológico,CONAGUA,B00.8.-622,Acapetahua,1,24/09/2019,"Carretero, Educativo, Hidráulico, Vial Urbano y Vivienda",18169,https://www.dof.gob.mx/nota_detalle.php?codigo=5573846&fecha=30/09/2019,18190,18199,SSPC/SPPPCCP/CNPC/DGGR/01344/2019; SSPC/SPPPCCP/CNPC/DGGR/01334/2019; SSPC/SPPPCCP/CNPC/DGGR/01429/2019; SSPC/SPPPCCP/CNPC/DGGR/01319/2019,sin dato,2020
8,Colima,2019,Lluvia severa e inundación fluvial y pluvial del 18 al 19 de septiembre de 2019,Hidrometeorológico,CONAGUA,B00.8.-623,"Armería, Manzanillo, Minatitlán y Tecomán",4,25/09/2019,"Educativo, Naval, Vial Urbano y Vivienda",18170,https://www.dof.gob.mx/nota_detalle.php?codigo=5573927&fecha=01/10/2019,18191,18200,SSPC/SPPPCCP/CNPC/DGGR/01340/2019; SSPC/SPPPCCP/CNPC/DGGR/01320/2019,sin dato,2020
9,Baja California Sur,2019,Huracán Lorena (Lluvia severa y vientos fuertes) el 20 de septiembre de 2019,Hidrometeorológico,CONAGUA,B00.8.-624,Los Cabos y La Paz,2,25/09/2019,"Carretero, Educativo y Naval",18170,https://www.dof.gob.mx/nota_detalle.php?codigo=5573926&fecha=01/10/2019,18177,18186,SSPC/SPPPCCP/CNPC/DGGR/001173/2019; SSPC/SPPPCCP/CNPC/DGGR/001112/2019,sin dato,2020
10,Jalisco,2019,Huracán Lorena (lluvia severa) el 18 de septiembre de 2019,Hidrometeorológico,CONAGUA,B00.8.-629,"Cihuatlán, Cuautitlán de García Barragán, La Huerta, Tomatlán, Villa Purificación",5,30/09/2019,"Carretero, Educativo, Hidráulico, Naval, Vial Urbano y Vivienda",18173,https://www.dof.gob.mx/nota_detalle.php?codigo=5574425&fecha=04/10/2019,18194,18205,SSPC/SPPPCCP/CNPC/DGGR/01617/2019; SSPC/SPPPCCP/CNPC/DGGR/01659/2019; SSPC/SPPPCCP/CNPC/DGGR/01388/2019,sin dato,2020
11,Guerrero,2019,Lluvia severa e inundación fluvial y pluvial del 28 al 29 de septiembre de 2019,Hidrometeorológico,CONAGUA,B00.8.-662,"Chilapa de Álvarez, Eduardo Neri, José Joaquín Herrera, Atlixtac, Mártir de Cuilapa, San Marcos, Tecoanapa, Zitlala, Acapulco de Juárez, Azoyú, Copala, IIiatenco, Juchitán, Marquelia, San Luis Acatlán, Atoyac de Álvarez, Benito Juárez, Coahuayutla de José María Izazaga, Cuajinicuilapa, Florencio Villarreal, La Unión de Isidoro Montes de Oca, Petatlán, Técpan de Galeana, Zihuatanejo de Azueta, Acatepec, Chilpancingo de los Bravo, Cuautepec, Igualapa, Malinaltepec, Mochitlán, Quechultenango, Ometepec, Tlacoachistlahuaca, Xochixtlahuaca, Tixtla de Guerrero, Tlacoapa y Leonardo Bravo, Acatepec, Cuajinicuilapa, Igualapa, Malinaltepec, Acapulco de Juárez, Azoyú, Coyuca de Benítez, Cuautepec, IIiatenco, Juchitán, Leonardo Bravo, Marquelia, Metlatonoc, Tepecoacuilco de Trujano y Tlacoachistlahuaca",40,03/10/2019,"Carretero, Educativo, Hidráulico, Naval, Pesquero y Acuícola, Salud, Vial Urbano y Vivienda",18178,https://www.dof.gob.mx/nota_detalle.php?codigo=5574844&fecha=09/10/2019,18199,18208,SSPC/SPPPCCP/CNPC/DGGR/01717/2019; SSPC/SPPPCCP/CNPC/DGGR/01754/2019; SSPC/SPPPCCP/CNPC/DGGR/01579/2019,sin dato,2020
12,Colima,2019,"Lluvia severa, inundación fluvial y pluvial el 29 y 30 de septiembre de 2019",Hidrometeorológico,CONAGUA,B00.8.-659,"Armería, Colima, Comala, Coquimatlán, Cuauhtémoc, Ixtlahuacán, Manzanillo, Minatitlán, Tecomán y Villa de Álvarez",10,03/10/2019,"Carretero, Deportivo, Educativo, Hidráulico, Pesquero y Acuícola, Vial Urbano y Vivienda",18178,https://www.dof.gob.mx/nota_detalle.php?codigo=5574843&fecha=09/10/2019,18199,18208,SSPC/SPPPCCP/CNPC/DGGR/01760/2019; SSPC/SPPPCCP/CNPC/DGGR/01578/2019; SSPC/SPPPCCP/CNPC/DGGR/01721/2019,sin dato,2020
13,Jalisco,2019,Tormenta Tropical Narda (Lluvia severa) ocurrida el día 29 de septiembre de 2019,Hidrometeorológico,CONAGUA,B00.8.-666,"Cabo Corrientes, Cihuatlán, La Huerta, Tomatlán y Villa Purificación",5,07/10/2019,"Carretero, Educativo, Hidráulico, Naval, Pesquero y Acuícola, Vial Urbano y Vivienda",18180,https://www.dof.gob.mx/nota_detalle.php?codigo=5575185&fecha=11/10/2019,18201,18212,SSPC/SPPPCCP/CNPC/DGGR/01840/2019; SSPC/SPPPCCP/CNPC/DGGR/01724/2019; SSPC/SPPPCCP/CNPC/DGGR/01616/2019,sin dato,2020
14,Oaxaca,2019,"Lluvia severa, inundación fluvial y pluvial ocurridas los días 28, 29 y 30 de septiembre de 2019",Hidrometeorológico,CONAGUA,B00.8.-667,"San Baltazar Loxicha, San Bartolomé Loxicha, San Jerónimo Coatlán, San Miguel Coatlán, San Pablo Coatlán, San Sebastián Coatlán, Santa Catarina Loxicha, Santa María Colotepec, Santa María Tonameca, Santo Domingo de Morelos y Santo Domingo Tehuantepec, Candelaria Loxicha, Constancia del Rosario, La Reforma, Mesones Hidalgo, Pluma Hidalgo, San Agustín Loxicha, San Andrés Cabecera Nueva, San Francisco Cahuacuá, San Francisco Ozolotepec, San Juan Bautista Lo de Soto, San Juan Lachao, San Juan Ozolotepec, San Juan Quiahije, San Marcial Ozolotepec, San Mateo Piñas, San Mateo Río Hondo, San Miguel del Puerto, San Miguel el Grande, San Miguel Panixtlahuaca, San Miguel Suchixtepec, San Pablo Tijaltepec, San Pedro el Alto, San Pedro Pochutla, San Sebastián Río Hondo, Santa Catarina Juquila, Santa Cruz Itundujia, Santa Cruz Tacahua, Santa Lucía Monteverde, Santa María Huatulco, Santa María Ozolotepec, Santa María Yucuhiti, Santa María Zacatepec, Santiago Llano Grande, Santiago Nuyoó, Santiago Tapextla, Santiago Xanica, Santiago Yosondúa, Santo Domingo Ixcatlán, Santo Domingo Ozolotepec, Santos Reyes Nopala y Tataltepec de Valdés, Santa María Yolotepec, Heróica Ciudad de Juchitán de Zaragoza, San Pedro Mixtepec, Santa María Temaxcaltepec, San Juan Colorado y San Pedro Amuzgos, Santiago Jamiltepec, Santiago Pinotepa Nacional y Villa de Tututepec de Melchor Ocampo, Chalcatongo de Hidalgo, Coicoyán de las Flores, San Esteban Atatlahuca y Santiago Yaitepec, Calihualá, Putla Villa de Guerrero, San Gabriel Mixtepec, Santa Catarina Yosonotú y Santiago Juxtlahuaca, San Juan Mixtepec, San Juan Ñumí, San Martín Itunyoso, San Martín Peras, San Pedro Mixtepec, Santa Cruz Nundaco, Heróica Ciudad de Tlaxiaco, San Lorenzo Victoria, Santa María Huazolotitlán, Santiago Tamazola y Silacayoápam, San Sebastián Tecomaxtlahuaca",82,07/10/2019,"Carretero, Educativo, Hidráulico, Militar, Naval, Pesquero y Acuíola, Vial Urbano y Vivienda",18180,https://www.dof.gob.mx/nota_detalle.php?codigo=5575186&fecha=11/10/2019,18201,18212,SSPC/SPPPCP/CNPC/DGGR/01831/2019; SSPC/SPPPCCP/CNPC/DGGR/01781/2019; SSPC/SPPPCP/CNPC/DGGR/01723/2019; SSPC/SPPPCCP/CNPC/DGGR/01812/2019; SSPC/SPPPCP/CNPC/DGGR/01519/2019,sin dato,2020
15,Chiapas,2019,Inundación fluvial del 7 al 10 de octubre de 2019,Hidrometeorológico,CONAGUA,B00.8.-675,Mapastepec,1,15/10/2019,"Carretero, Educativo, Hidráulico, Pesquero y Acuícola, Vial Urbano y Vivienda",18190,https://www.dof.gob.mx/nota_detalle.php?codigo=5576003&fecha=21/10/2019,18211,18221,SSPC/SPPPCCP/CNPC/DGGR/02027/2019; SSPC/SPPPCCP/CNPC/DGGR/01854/2019; SSPC/SPPPCCP/CNPC/DGGR/01974/2019; SSPC/SPPPCCP/CNPC/DGGR/02041/2019; SSPC/SPPPCP/CNPC/DGGR/01766/2019,sin dato,2020
16,Baja California Sur,2019,Lluvia severa e inundación fluvial y pluvial el 13 de octubre de 2019,Hidrometeorológico,CONAGUA,B00.8.-682,La Paz y Los Cabos,2,17/10/2019,"Carretero, Educativo, Hidráulico, Naval, Vial Urbano y Vivienda",18192,https://www.dof.gob.mx/nota_detalle.php?codigo=5576323&fecha=23/10/2019,18199,18208,SSPC/SPPPCCP/CNPC/DGGR/01720/2019; SSPC/SPPPCCP/CNPC/DGGR/01522/2019; SSPC/SPPPCCP/CNPC/DGGR/01586/2019; SSPC/SPPPCCP/CNPC/DGGR/01764/2019,sin dato,2020
17,Veracruz,2019,Inundación pluvial y fluvial el 13 de octubre de 2019,Hidrometeorológico,CONAGUA,B00.8.-685,Catemaco y Santiago Tuxtla,2,22/10/2019,"Carretero, Forestal y Viveros, Hidráulico, Vial Urbano y Vivienda",18197,https://www.dof.gob.mx/nota_detalle.php?codigo=5576685&fecha=28/10/2019,18219,18228,SSPC/SPPPCCP/CNPC/DGGR/02046/2019; SSPC/SPPPCCP/CNPC/DGGR/02108/2019; SSPC/SPPPCCP/CNPC/DGGR/02131/2019,sin dato,2020
18,Baja California,2019,"Incendios forestales presentados del 24, 25 y 26 de octubre de 2019",Incendio Forestal,CONAFOR,DG-0729/2019,"Ensenada, Playas de Rosarito y Tecate",3,01/11/2019,"Forestal y de Viveros, Vial Urbano y Vivienda",18207,https://www.dof.gob.mx/nota_detalle.php?codigo=5578070&fecha=07/11/2019,18229,18240,SSPC/SPPPCCP/CNPC/DGGR/02302/2019; SSPC/SPPPCCP/CNPC/DGGR/02245/2019,sin dato,2020
19,Chihuahua,2019,Lluvia severa el 27 y 28 de noviembre e inundación fluvial el 28 de noviembre de 2019,Hidrometeorológico,CONAGUA,B00.8.-793,"Bocoyna, Batopilas, Chlnipas, Guachochi, Guadalupe y Calvo, Morelos y Urique",7,04/12/2019,"Carretero, Vial Urbano y Vivienda",18240,https://www.dof.gob.mx/nota_detalle.php?codigo=5581383&fecha=10/12/2019,18263,18274,SSPC/SPPPCCP/CNPC/DGGR/00274/2020; SSPC/SPPPCCP/CNPC/DGGR/01363/2020; SSPC/SPPPCCP/CNPC/DGGR/00280/2020,sin dato,2020
20,Durango,2019,Lluvia severa el 28 de noviembre de 2019,Hidrometeorológico,CONAGUA,B00.8.-792,"Canelas, Otáez, San Dimas, Tamazula, Tepehuanes y Topia",6,04/12/2019,"Carretero, Educativo, Hidráulico, Vial Urbano y Vivienda",18240,https://www.dof.gob.mx/nota_detalle.php?codigo=5581384&fecha=10/12/2019,18263,18274,SSPC/SPPPCCP/CNPC/DGGR/03245/2020; SSPC/SPPPCCP/CNPC/DGGR/00212/2020; SSPC/SPPPCCP/CNPC/DGGR/00279/2020; SSPC/SPPPCCP/CPC/DGGR/00046/2020,sin dato,2020
21,Sonora,2019,Lluvia severa e inundación fluvial y pluvial del 27 al 29 de noviembre de 2019,Hidrometeorológico,CONAGUA,B00.8.-797,"Aconchi, Agua Prieta, Álamos, Arivechi, Arizpe, Bacadéhuachi, Bacanora, Bacerac, Bacoachi, Bácum, Banámichi, Baviácora, Bavispe, Benjamín Hill, Cananea, Carbó, Cucurpe, Cumpas, Divisaderos, Fronteras, General Plutarco Elías Calles, Granados, Guaymas, Hermosillo, Huachinera, Huásabas, Huepac, Imuris, Magdalena, Mazatán, Moctezuma, Naco, Nácori Chico, Nacozari De García, Onavas, Opodepe, Quiriego, Rayón, Sahuaripa, San Felipe De Jesús, San Ignacio Rio Muerto, San Javier, San Luis Rio Colorado, San Miguel De Horcasitas, San Pedro De La Cueva, Santa Ana, Santa Cruz, Soyopa, Suaqui Grande, Tepache, Trincheras, Ures, Villa Hidalgo, Villa Pesqueira y Yecora.",55,05/12/2019,"Carretero, Educativo, Hidráulico, Naval, Vial Urbano y Vivienda",18241,https://www.dof.gob.mx/nota_detalle.php?codigo=5581589&fecha=11/12/2019,18264,18275,SSPC/SPPPCCP/CNPC/DGGR/00249/2020; SSPC/SPPPCCP/CNPC/DGGR/00281/2020; SSPC/SPPPCCP/CNPC/DGGR/00273/2020; SSPC/SPPPCCP/CNPC/DGGR/00382/2020; SSPC/SPPPCCP/CNPC/DGGR/00156/2020; SSPC/SPPPCCP/CNPC/DGGR/00063/2020,sin dato,2020
22,Veracruz,2019,Sequía severa del 1 de mayo de 2019 al 30 de noviembre de 2019,Hidrometeorológico,CONAGUA,B00.8.-803,"Acayucan, Actopan, Álamo Temapache, Alvarado, Amatitlán, Apazapan, Benito Juárez, Boca del Río, Camarón de Tejeda, Carlos A. Carrillo, Carrillo Puerto, Castillo de Teayo, Cazones de Herrera, Chalma, Chiconamel, Chicontepec, Chinameca, Chontla, Coahuitlán, Coatzintla, Comapa, Cosamaloapan de Carpio, Cosoleacaque, Coxquihui, Coyutla, Filomeno Mata, Gutiérrez Zamora, Ixcatepec, Ixhuatlán de Madero, Ixhuatlán del Sureste, Jáltipan, Jamapa, Jesús Carranza, La Antigua, Manlio Fabio Altamirano, Mecatlán, Mecayapan, Medellín, Minatitlán, Otatitlán, Oteapan, Ozuluama de Mascareñas, Pajapan, Pánuco, Paso de Ovejas, Paso del Macho, Platón Sánchez, Poza Rica de Hidalgo, Puente Nacional, San Juan Evangelista, Santiago Sochiapan, Sayula de Alemán, Soconusco, Soledad de Doblado, Soteapan, Tampico Alto, Tantoyuca, Tatahuicapan de Juárez, Tempoal, Tepetzintla, Tierra Blanca, Tlacojalpan, Tlacotalpan, Tuxtilla, Uxpanapa, Veracruz, Zaragoza y Zentla",68,13/12/2019,Hidráulico,18249,https://www.dof.gob.mx/nota_detalle.php?codigo=5582349&fecha=19/12/2019,18274,18283,SSPC/SPPPCCP/CNPC/DGGR/00362/2020,sin dato,2020
23,Chiapas,2019,Sequía severa ocurrida del 1 de diciembre del 2018 al 30 de noviembre del 2019 en 1 municipio del Estado de Chiapas y del 1 de mayo al 30 de noviembre del 2019 en 3 municipios de dicha entidad federativa,Hidrometeorológico,CONAGUA,B00.8.-804,"Chilón, Copainalá, Ocosingo y Palenque",4,13/12/2019,Hidráulico,18249,https://www.dof.gob.mx/nota_detalle.php?codigo=5582348&fecha=19/12/2019,18274,18283,sin dato,Este sector no presentó Diagnóstico Preliminar,2020
24,Quintana Roo,2019,Sequía severa ocurrida del 1 de mayo al 30 de noviembre del 2019 en 9 municipios del Estado de Quintana Roo y del 1 de diciembre de 2018 al 30 de noviembre del 2019 en 1 municipio de dicha entidad federativa,Hidrometeorológico,CONAGUA,B00.8.-808,"Bacalar, Benito Juarez, Felipe Carrillo Puerto, Isla Mujeres, José María Morelos, Lázaro Cárdenas, Othon P. Blanco, Puerto Morelos, Solidaridad y Tulum",10,17/12/2019,Hidráulico,18253,https://www.dof.gob.mx/nota_detalle.php?codigo=5582629&fecha=23/12/2019,18276,18285,sin dato,Este sector no presentó Diagnóstico Preliminar,2020
25,Oaxaca,2020,Sismo de magnitud 5.3 ocurrido el 16 de enero de 2020,Geológico,CENAPRED,E00-DG/0116/2020,Ciudad Ixtepec y San Pedro Comitancillo,2,24/01/2020,"Educativo, Vial Urbano y Vivienda",18291,https://www.dof.gob.mx/nota_detalle.php?codigo=5585163&fecha=30/01/2020,18299,18310,SSPC/SPPPCCP/CNPC/DGGR/00551/2020; SSPC/SPPPCCP/CNPC/DGGR/00697/2020,sin dato,2021
26,Oaxaca,2020,Incendio Forestal ocurrido del 25 al 26 de marzo de 2020,Incendio Forestal,CONAFOR,DG-205/2020,Santa María Jaltianguis,1,31/03/2020,Vivienda,18358,https://www.dof.gob.mx/nota_detalle.php?codigo=5591172&fecha=06/04/2020,18365,18379,sin dato,"Se remitió a la UPCP el oficio SSPC/SPPPCCP/CNPC/DGGR/01420/2020, a través del cual la SEDATU informó que los daños serán atendidos por la Entidad Federativa",2021
27,Quintana Roo,2020,Inundación pluvial ocurrida del 3 al 5 de junio de 2020,Hidrometeorológico,CONAGUA,B00.8.-214,"Bacalar, Felipe Carrillo Puerto, José María Morelos y Othón P. Blanco",4,08/06/2020,"Carretero, Educativo, Hidráulico, Naval, Salud, Vial Urbano y Vivienda",18425,https://www.dof.gob.mx/nota_detalle.php?codigo=5594907&fecha=12/06/2020,18446,18456,SSPC/SPPPCCP/CNPC/DGGR/02282/2020; SSPC/SPPPCCP/CNPC/DGGR/02280/2020; SSPC/SPPPCCP/CNPC/DGGR/02382/2020; SSPC/SPPPCCP/CNPC/DGGR/02214/2020; SSPC/SPPPCCP/CNPC/DGGR/02199/2020,sin dato,2021
28,Campeche,2020,Lluvia severa ocurrida del 30 de mayo al 5 de junio de 2020,Hidrometeorológico,CONAGUA,B00.8.-219,"Calakmul, Calkiní, Campeche, Candelaria, Carmen, Champotón, Escárcega; Hecelchakán, Hopelchén, Palizada, y Tenabo",11,09/06/2020,"Carretero, Deportivo, Educativo, Hidráulico, Naval, Vial Urbano y Vivienda",18428,https://www.dof.gob.mx/nota_detalle.php?codigo=5594966&fecha=15/06/2020,18449,18458,SSPC/SPPPCCP/CNPC/DGGR/02699/2020; SSPC/SPPPCCP/CNPC/DGGR/04103/2020; SSPC/SPPPCCP/CNPC/DGGR/02222/2020; SSPC/SPPPCCP/CNPC/DGGR/02340/2020; SSPC/SPPPCCP/CNPC/DGGR/02805/2020; SSPC/SPPPCCP/CNPC/DGGR/02389/2020;,sin dato,2021
