no,entidad_federativa,anio,evento,tipo_fenomeno,instancia_corroboradora,documento_corroboracion,nombre_municipios_corroborados,numero_municipios_corroborados,instalacion_ced,sectores_afectados,fecha_publicacion_dof,publicacion_dof,entrega_resultados_ced,limite_para_entregar_diagnostico,oficio_entrega,observaciones,ultima_fecha_actualizacion
85,Jalisco,2021,"Huracán (Lluvia severa), inundación fluvial y vientos fuertes el 28 y 29 de agosto de 2021",Hidrometeorológico,CONAGUA,B00.8.02.-033,"Puerto Vallarta, Cabo Corrientes, Tomatlán, La Huerta, Cihuatlán, Talpa de Allende, Autlán de Navarro, Casimiro Castillo, El Grullo, Cuautitlán de García Barragán, Mascota, San Gabriel, Santa María del Oro, Atoyac, Atenguillo, Villa Purificación, Mixtlán, Zapotlán el Grande, El limón y Ejutla",20,09/09/2021,"Carretero, Educativo, Hidráulico, Naval y Pesquero y Acuícola",18887,https://dof.gob.mx/nota_detalle.php?codigo=5630085&fecha=17/09/2021,18922,18940,SSPC/SPPPCCP/CNPC/DGGR/02424/2021; SSPC/SPPPCCP/CNPC/DGGR/02664/2021,sin dato,2022
86,Nayarit,2021,"Huracán """"Nora"""" Categoría 1 (lluvia severa) e inundación fluvial del 28 al 30 de agosto de 2021",Hidrometeorológico,CONAGUA,B00.8.-221,"San Blas, Huajicori, Rosamorada, Santiago Ixcuintla, Acaponeta, Tecuala y Tuxpan",7,10/09/2021,"Carretero, Hidráulico, Naval, Pesquero y Acuícola y Salud",18890,https://dof.gob.mx/nota_detalle.php?codigo=5630208&fecha=20/09/2021,18925,18941,SSPC/SPPPCCP/CNPC/DGGR/02457/2021; SSPC/SPPPPCCP/CNPC/DGGR/02622/2021; SSPC/SPPPCP/CNPC/DGGR/02643/2021,sin dato,2022
87,Guerrero,2021,Sismo con magnitud 7.1 el 7 de septiembre de 2021,Geológico,CENAPRED,SSPC/CENAPRED/DG/00797/2021,"Acapulco de Juárez, Acatepec, Atoyac de Álvarez, Ayutla de los Libres, Chilapa de Álvarez, Chilpancingo de los Bravo, Coyuca de Benítez, Eduardo Neri, José Joaquín de Herrera, Juan R. Escudero, Mártir de Cuilapan, Mochitlán, San Marcos, Tecoanapa, Tixtla de Guerrero, y Tlacoapa",16,14/09/2021,"Carretero, Educativo, Monumentos Arqueológicos y Naval",18892,https://dof.gob.mx/nota_detalle.php?codigo=5630547&fecha=22/09/2021,18920,18936,SSPC/SPPPCCP/CNPC/DGGR/02388/2021; SSPC/SPPPCCP/CNPC/DGGR/02405/2021; SSPC/SPPPCCP/CNPC/DGGR/02402/2021,sin dato,2022
88,Hidalgo,2021,Inundación fluvial y lluvia severa del 6 al 8 de septiembre de 2021,Hidrometeorológico,CONAGUA,B00.8.02.-035,"Chilcuautla, Ixmiquilpan, Mixquiahuala de Juárez, Tasquillo, Tepeji del Río de Ocampo, Tezontepec de Aldama, Tlahuelilpan, Tlaxcoapan y Tula de Allende",9,15/09/2021,"Carretero, Cultura, Educativo, Hidráulico y Salud",18893,https://dof.gob.mx/nota_detalle.php?codigo=5630649&fecha=23/09/2021,18928,18947,SSPC/SPPPCCP/CNPC/DGGR/02455/2021,sin dato,2022
89,Baja California Sur,2021,"Inundación pluvial, lluvia severa y vientos fuertes el 9 y 10 de septiembre de 2021",Hidrometeorológico,CONAGUA,B00.8.-235,La Paz y Los Cabos,2,20/09/2021,"Carretero, Deportivo, Educativo, Hidráulico, Naval y Turístico",18897,https://dof.gob.mx/nota_detalle.php?codigo=5630911&fecha=27/09/2021,18932,18949,SSPC/SPPPCCP/CNPC/DGGR/02459/2021; SSPC/SPPPCCP/CNPC/DGGR/02609/2021,sin dato,2022
90,Zacatecas,2021,Inundación fluvial el 16 y 17 de septiembre de 2021,Hidrometeorológico,CONAGUA,B00.8.02.-038,Cuauhtémoc y Genaro Codina,2,21/09/2021,"Hidráulico, Vial Urbano y Vivienda",18901,https://dof.gob.mx/nota_detalle.php?codigo=5631473&fecha=01/10/2021,18936,18954,SSPC/SPPPCCP/CNPC/DGGR/02498/2021,sin dato,2022
91,Nayarit,2021,Lluvia severa e inundación fluvial del 13 al 15 de octubre de 2021,Hidrometeorológico,CONAGUA,B00.8.02-044,"Acaponeta, Tecuala, Huajicori, Tuxpan, Rosamorada, Ruíz y Santiago Ixcuintla",7,21/10/2021,"Carretero, Deportivo, Educativo, Hidráulico, Pesquero y Acuícola, Vial Urbano y Vivienda",18928,https://dof.gob.mx/nota_detalle.php?codigo=5633945&fecha=28/10/2021,18964,18982,SSPC/SPPPCP/CNPC/DGGR/02644/2021; SSPC/SPPPCP/CNPC/DGGR/02658/2021,sin dato,2022
92,Guerrero,2021,"Lluvia severa, vientos fuertes, inundación fluvial e inundación pluvial del24 al 25 de octubre de 2021",Hidrometeorológico,CONAGUA,B00.8.02.-047,"Benito Juárez, Coahuayutla de José María Izazaga, La Unión de Isidoro Montes de Oca, Petatlán, Técpan de Galeana y Zihuatanejo de Azueta",6,02/11/2021,"Carretero, Educativo, Naval y Turístico",18940,https://dof.gob.mx/nota_detalle.php?codigo=5634791&fecha=09/11/2021,18974,18990,SSPC/SPPPCCP/CNPC/DGGR/02640/2021; SSPC/SPPPCCP/CNPC/DGGR/02665/2021; SSPC/SPPPCCP/CNPC/DGGR/02672/2021,sin dato,2022
93,Guanajuato,2021,Inundación fluvial del 5 de septiembre al 28 de octubre de 2021,Hidrometeorológico,CONAGUA,B00.8.02.-049,Abasolo,1,02/11/2021,"Carretero, Educativo, Hidráulico, Vial Urbano y Vivienda",18940,https://dof.gob.mx/nota_detalle.php?codigo=5634790&fecha=09/11/2021,18976,18992,SSPC/SPPPCCP/CNPC/DGGR/02656/2021; SSPC/SPPPCCP/CNPC/DGGR/02671/2021; SSPC/SPPPCCP/CNPC/DGGR/02642/2021,sin dato,2022
94,Chiapas,2022,Lluvia severa el 7 el abril del 2022,Hidrometeorológico,CONAGUA,B00.8.-084,Amatán,1,19/04/2022,Carretero e Hidráulico,19108,https://dof.gob.mx/nota_detalle.php?codigo=5650105&fecha=26/04/2022,19130,19146,SSPC/SPPPCCP/CNPC/DGGR/00603/2022; SSPC/SPPPCCP/CNPC/DGGR/00705/2022;,sin dato,2023
95,Chiapas,2022,Movimiento de ladera el 8 de abril de 2022,Geológico,CENAPRED,SSPC/CENAPRED/DG/00513/2022,Amatán,1,19/04/2022,Educativo e Hidráulico,19108,https://dof.gob.mx/nota_detalle.php?codigo=5650106&fecha=26/04/2022,19137,19153,SSPC/SPPPCCP/CNPC/DGGR/00630/2022;,sin dato,2023
96,Oaxaca,2022,"Lluvia severa, vientos fuertes, inundación pluvial e inundación fluvial del 29 al 31 de mayo de 2022",Hidrometeorológico,CONAGUA,B00.8.02.-069,"Asunción Tlacolulita, Candelaria Loxicha, Pluma Hidalgo, San Agustín Loxicha, San Bartolomé Loxicha, San Carlos Yautepec, San Francisco Ozolotepec, San Marcial Ozolotepec, San Mateo Piñas, San Miguel del Puerto, San Pedro el Alto, San Pedro Pochutla, Santa María Colotepec, Santa María Huatulco, Santa María Quiegolani, Santa María Tonameca, Santiago Xanica, Santo Domingo de Morelos, Miahuatlán de Porfirio Díaz, San Andrés Paxtlán, San Cristóbal Amatlán, San Gabriel Mixtepec, San Juan Lachao, San Juan Ozolotepec, San Mateo Río Hondo, San Miguel Chimalapa, San Miguel Suchixtepec, San Pedro Huamelula, San Pedro Mixtepec Distrito 22, Santa Catarina Juquila, Santa María Jalapa del Marqués, Santa María Ozolotepec, Santa María Temaxcaltepec, Santiago Astata, Santo Domingo Ingenio, Santo Domingo Ozolotepec, Santos Reyes Nopala y Villa de Tututepec.",38,07/06/2022,"Carretero, Educativo, Hidráulico, Naval y Turístico",19157,https://dof.gob.mx/nota_detalle.php?codigo=5654970&fecha=14/06/2022,19192,19208,SSPC/SPPPCCP/CNPC/DGGR/00935/2022; SSPC/SPPPCCP/CNPC/DGGR/00947/2022;,sin dato,2023
97,Oaxaca,2022,Movimiento de Ladera del 29 al 31 de mayo de 2022,Geológico,CENAPRED,SSPC/CENAPRED/DG/00817/2022,"San Cristóbal Amatlán, San Francisco Ozolotepec, San Juan Ozolotepec, San Marcial Ozolotepec, San Mateo Piñas, San Mateo Río Hondo, San Miguel Chimalapa, San Pedro Pochutla, Santa María Tonameca y Santiago Xanica",10,07/06/2022,sin dato,19157,https://dof.gob.mx/nota_detalle.php?codigo=5654971&fecha=14/06/2022,19192,19208,sin dato,Las dependencias no presentaron Diagnósticos de Obras y Acciones,2023
98,Chiapas,2022,Lluvia severa el 20 de junio de 2022,Hidrometeorológico,CONAGUA,B00.8.-137,Sitalá,1,29/06/2022,Carretero e Hidráulico,19198,https://dof.gob.mx/nota_detalle.php?codigo=5659088&fecha=25/07/2022,19200,19216,SSPC/SPPPCCP/CNPC/DGGR/00969/2022,sin dato,2023
99,Veracruz,2022,Movimiento de ladera del 20 al 23 de junio de 2022,Geológico,CENAPRED,SSPC/CENAPRED/DG/00965/2022,"Atlahuilco, Los Reyes, Soledad Atzompa, Tequila, Texhuacán y Zongolica",6,30/06/2022,Educativo e Hidráulico,19198,https://dof.gob.mx/nota_detalle.php?codigo=5659090&fecha=25/07/2022,19215,19233,SSPC/SPPPCCP/CNPC/DGGR/001004/2022,sin dato,2023
100,Veracruz,2022,"Lluvia severa, inundación pluvial y fluvial del 21 al 23 de junio de 2022",Hidrometeorológico,CONAGUA,B00.8.02.-079,"Las Choapas, Mixtla de Altamirano y Zongolica",3,30/06/2022,Carretero y Educativo,19198,https://dof.gob.mx/nota_detalle.php?codigo=5659089&fecha=25/07/2022,19215,19233,"SSPC/SPPPCCP/CNPC/DGGR/01011/2022, SSPC/SPPPCCP/CNPC/DGGR/01015/2022,",sin dato,2023
101,Veracruz,2022,Movimiento de ladera del 26 al 28 de julio de 2022,Geológico,CENAPRED,SSPC/CENAPRED/DG/01151/2022,Tequila,1,05/08/2022,sin dato,19216,https://www.dof.gob.mx/nota_detalle.php?codigo=5661110&fecha=12/08/2022,19254,19270,sin dato,Las dependencias no presentaron Diagnosticos de Obras y Acciones,2023
102,Baja California Sur,2022,Lluvia severa e inundación fluvial los días 2 y 3 de septiembre 2022,Hidrometeorológico,CONAGUA,B00.8.02.-106,"Mulegé ,La Paz y Los Cabos",3,13/09/2022,"Carretero, Educativo, Forestal y de Viveros, y Naval",19256,https://www.dof.gob.mx/nota_detalle.php?codigo=5665076&fecha=21/09/2022,19277,19293,"SSPC/CNPC/DGGR/01263/2022, SSPC/CNPC/DGGR/01281/2022",sin dato,2023
103,Baja California Sur,2022,"Lluvia severa, vientos fuertes e inundación fluvial del 7 al 9 de septiembre de 2022",Hidrometeorológico,CONAGUA,B00.8.-230,"La Paz, Comondú y Mulegé",3,22/09/2022,"Carretero, Deportivo, Educativo, Hidráulico y Naval",19262,https://www.dof.gob.mx/nota_detalle.php?codigo=5665514&fecha=27/09/2022,19285,19303,"SSPC/CNPC/DGGR/01291/2022, SSPC/CNPC/DGGR/01295/2022, SSPC/CNPC/DGGR/01345/2022,",sin dato,2023
104,Baja California,2022,Inundación pluvial y lluvia severa del 8 al 11 de septiembre de 2022,Hidrometeorológico,CONAGUA,B00.8.-233,"Mexicali, Tecate, San Felipe, Ensenada, San Quintín y Playas de Rosarito",6,21/09/2022,"Carretero, Educativo, Hidráulico, Naval y Pesquero",19263,https://www.dof.gob.mx/nota_detalle.php?codigo=5665709&fecha=28/09/2022,19298,19314,"SSPC/CNPC/DGGR/01358/2022, SSPC/CNPC/DGGR/01393/2022,",sin dato,2023
105,Colima,2022,Sismo magnitud 7.7 el 19 de septiembre de 2022,Geológico,CENAPRED,SSPC/CENAPRED/DG/01427/2022,"Armería, Colima, Comalá, Coquimatlán, Cuauhtémoc, Ixtlahuacán, Manzanillo, Minatitlán, Tecomán, Villa de Álvarez",10,23/09/2022,"Carretero, Cultura, Deportivo, Educativo, Monumentos Arqueológicos, Artísticos e Históricos, Naval y Salud",19265,https://www.dof.gob.mx/nota_detalle.php?codigo=5666009&fecha=30/09/2022,19300,19318,"SSPC/CNPC/DGGR/01357/2022, SSPC/CNPC/DGGR/01394/2022,",sin dato,2023
106,Michoacán,2022,Sismo magnitud 7.7 el 19 de septiembre de 2022,Geológico,CENAPRED,SSPC/CENAPRED/DG/01426/2022,"Aquila, Chinicuila, Coahuayana, Coalcomán de Vázquez Pallares y Apatzingán",5,23/09/2022,"Carretero, Educativo, Hidráulico, Monumentos Arqueológicos, Artísticos e Históricos, Naval y Salud",19265,https://www.dof.gob.mx/nota_detalle.php?codigo=5666010&fecha=30/09/2022,19286,19304,"SSPC/CNPC/DGGR/01293/2022, SSPC/CNPC/DGGR/01336/2022, SSPC/CNPC/DGGR/01346/2022 y SSPC/CNPC/DGGR/01456/2022",sin dato,2023
107,Chiapas,2022,"Lluvia severa, inundación pluvial e inundación fluvial del 20 al 22 de septiembre de 2022",Hidrometeorológico,CONAGUA,B00.8.-245,"Huixtla, Chapultenango, Tecpatan, Huehetan y Villa Comaltitlán",5,30/09/2022,Carretero e Hidráulico,19272,https://www.dof.gob.mx/nota_detalle.php?codigo=5667497&fecha=07/10/2022,19307,19325,SSPC/CNPC/DGGR/01433/2022,sin dato,2023
108,Veracruz,2022,"Lluvia severa, inundación pluvial e inundación fluvial del 10 al 26 de septiembre de 2022",Hidrometeorológico,CONAGUA,B00.8.02.-111,Acula; Alvarado; Amatitlán; Atzalan; Carlos A. Carrillo; Chacaltianguis; Cosoleacaque; Cotaxtla; Hidalgotitlán; Ignacio de la Llave; Jáltpan; Jesús Carranza; José Azueta; Los Reyes; Medellín de Bravo; Minatitlán; Playa Vicente; Texhuacán; y Texistepec,19,06/10/2022,"Carretero, Educativo, Hidráulico, Naval,",19278,https://www.dof.gob.mx/nota_detalle.php?codigo=5668031&fecha=13/10/2022,19313,19331,"SSPC/CNPC/DGGR/01420/2022, SSPC/CNPC/DGGR/01434/2022 y SSPC/CNPC/DGGR/01457/2022",sin dato,2023
109,Chiapas,2022,"Lluvia severa, inundación fluvial e inundación pluvial el 14 de octubre de 2022",Hidrometeorológico,CONAGUA,B00.8.-265,"Chapultenango, lxtacomitán, Juárez, Ostuacán, Pichucalco, Reforma y Sunuapa",7,20/10/2022,"Carretero, Hidráulico, Educativo",19292,https://www.dof.gob.mx/nota_detalle.php?codigo=5669792&fecha=27/10/2022,19328,19346,"SSPC/CNPC/DGGR/01522/2022, SSPC/CNPC/DGGR/1534/2022",sin dato,2023
110,Nayarit,2022,"Vientos fuertes, lluvia severa e inundación fluvial, el 23 y 24 de octubre de 2022",Hidrometeorológico,CONAGUA,B00.8.-277,"Acaponeta, Bahía de Banderas, Huajicori, San Blas, Tecuala, Rosamorada, Santiago Ixcuintla y Tuxpan",8,31/10/2022,"Carretero, Deportivo, Educativo, Hidráulico, Naval, y Pesquero y Acuícola",19303,https://www.dof.gob.mx/nota_detalle.php?codigo=5670671&fecha=07/11/2022,19339,19355,"SSPC/CNPC/DGGR/01527/2022, SSPC/CNPC/DGGR/01537/2022 y SSPC/CNPC/DGGR/01539/2022",sin dato,2023
111,Chiapas,2022,"Lluvia severa, inundación fluvial e inundación pluvial el 22 de noviembre de 2022",Hidrometeorológico,CONAGUA,B00.8.-297,"Chapultenango, Francisco león, Ixtapangajoya, Juárez, Ostuacán, Pichucalco, Solosuchiapa y Tecpatán",8,01/12/2022,Carretero e Hidráulico,19334,https://www.dof.gob.mx/nota_detalle.php?codigo=5673625&fecha=08/12/2022,19369,19387,SSPC/CNPC/DGGR/00111/2023,sin dato,2023
112,Chiapas,2023,"Lluvia severa, inundación fluvial e inundación pluvial el 10 y 11 de febrero de 2023",Hidrometeorológico,CONAGUA,B00.8.-038,"Amatán, Chapultenango, Ixtapangajoya, Juárez, Pichucalco, Solosuchiapa y Tecpatán",7,16/02/2023,Carretero e Hidráulico,19411,https://www.dof.gob.mx/nota_detalle.php?codigo=5680549&fecha=23/02/2023,19447,19465,"SSPC/CNPC/DGGR/0298/2023, SSPC/CNPC/DGGR/0289/2023",sin dato,2024
113,Veracruz,2023,Movimiento de ladera del 3 al 7 de agosto de 2023,Geológico,CENAPRED,SSPC/CENAPRED/DG/01188/2023,Los Reyes y Zongolica,2,14/08/2023,Educativo,19590,https://www.dof.gob.mx/nota_detalle.php?codigo=5699268&fecha=21/08/2023,19625,19641,SSPC/CNPC/DGGR/01208/2023,sin dato,2024
114,Veracruz,2023,Lluvia severa e inundación pluvial del 3 al 4 de agosto de 2023,Hidrometeorológico,CONAGUA,B00.8.02.-060,"Coetzala, Los Reyes, Mixtla de Altamirano, Naranjal, Omealca, Tequila y Zongolica",7,14/08/2023,"Carretero, Educativo, Hidráulico y Vial Urbano",19590,https://www.dof.gob.mx/nota_detalle.php?codigo=5699268&fecha=21/08/2023,19625,19641,"SSPC/CNPC/DGGR/00843/2023, SSPC/CNPC/DGGR/00869/2023, SSPC/CNPC/DGGR/00928/2023, SSPC/CNPC/DGGR/01065/2023, SSPC/CNPC/DGGR/01199/2023",sin dato,2024
115,Baja California Sur,2023,Lluvia severa e inundación pluvial el 19 de agosto de 2023,Hidrometeorológico,CONAGUA,B00.8.-142,Loreto y Mulegé,2,28/08/2023,"Carretero, Deportivo, Educativo, Hidráulico, Naval",19604,https://www.dof.gob.mx/nota_detalle.php?codigo=5700729&fecha=04/09/2023,19632,19648,"SSPC/CNPC/DGGR/00882/2023, SSPC/CNPC/DGGR/00904/2023",sin dato,2024
116,Baja California,2023,"Lluvia severa, inundación fluvial y pluvial, y vientos fuertes del 18 al 20 de agosto de 2023",Hidrometeorológico,CONAGUA,B00.8.-143,"Ensenada, Mexicali, Tecate, Tijuana, Playas de Rosarito, San Quintín y San Felipe",7,29/09/2023,"Carretero, Educativo y Naval",19605,https://www.dof.gob.mx/nota_detalle.php?codigo=5700852&fecha=05/09/2023,19640,19656,SSPC/CNPC/DGGR/00929/2023,sin dato,2024
117,Jalisco,2023,Movimiento de ladera el 25 de septiembre de 2023,Geológico,CENAPRED,SSPC/CENAPRED/DG/01442/2023,Autlán de Navarro,1,03/10/2023,Hidráulico,19640,https://www.dof.gob.mx/nota_detalle.php?codigo=5704429&fecha=10/10/2023,19675,19692,SSPC/CNPC/DGGR/01097/2023,sin dato,2024
118,Guerrero,2023,"Lluvia severa, inundación fluvial y pluvial del 9 al 11 de octubre de 2023",Hidrometeorológico,CONAGUA,B00.8.-185,Coyuca de Benítez; Benito Juárez; Acapulco de Juárez; Atoyac de Álvarez; Xalpatláhuac; Técpan de Galeana,6,19/10/2023,"Carretero, Educativo, Hidráulico y Naval",19656,https://www.dof.gob.mx/nota_detalle.php?codigo=5706674&fecha=26/10/2023,19677,19696,"SSPC/CNPC/DGGR/01133/2023, SSPC/CNPC/DGGR/01098/2023",sin dato,2024
119,Veracruz,2023,"Lluvia severa, inundación fluvial e inundación pluvial el 15 y 16 de octubre de 2023",Hidrometeorológico,CONAGUA,B00.8.-193,"Ixhutlán del Sureste, Moloacán, Agua Dulce, Las Choapas, Uxpanapa y Misantla",6,25/10/2023,"Carretero, Educativo, Hidráulico",19662,https://www.dof.gob.mx/nota_detalle.php?codigo=5707395&fecha=01/11/2023,19698,19717,"SSPC/CNPC/DGGR/01205/2023, SSPC/CNPC/DGGR/01212/2023",sin dato,2024
120,Baja California Sur,2023,"Lluvia severa, inundación fluvial y pluvial y vientos fuertes del 20 al 22 de octubre de 2023",Hidrometeorológico,CONAGUA,B00.8.-200,La Paz y los Cabos,2,31/10/2023,"Carretero, Deportivo, Educativo, Hidráulico, Naval",19668,https://www.dof.gob.mx/nota_detalle.php?codigo=5707833&fecha=07/11/2023,19704,19724,"SSPC/CNPC/DGGR/01209/2023, SSPC/CNPC/DGGR/01200/2023, SSPC/CNPC/DGGR/00007/2024, SSPC/CNPC/DGGR/00149/2024",sin dato,2024
121,Guerrero,2023,"Lluvia severa, vientos fuertes, e Inundación y pluvial el 24 y 25 de octubre de 2023",Hidrometeorológico,CONAGUA,B00.8.-203,"Acapulco de Juárez, Coyuca de Benítez",2,01/11/2023,"Educativo, Carretero, Cultura, Hidráulico, Naval",19664,https://www.dof.gob.mx/nota_detalle.php?codigo=5707645&fecha=03/11/2023,19705,19725,"SSPC/CNPC/DGGR/01206/2023, SSPC/CNPC/DGGR/00006/2024, SSPC/CNPC/DGGR/00150/2024, SSPC/CNPC/DGGR/00123/2024; SSPC/CNPC/DGGR/00319/2024; SSPC/CNPC/DGGR/00409/2024;",sin dato,2024
122,Veracruz,2024,"Lluvia severa, inundación pluvial e inundación fluvial del 19 al 21 de octubre de 2024",Hidrometeorológico,CONAGUA,B00.8.02.00.03.-026,"Las Choapas; Acayucan; Atlahuilco; Chinameca; Cosamaloapan de Carpio; Coscomatepec; Hidalgo-titlán; Ignacio de la Llave; Isla; Ixhuatlán del Café; Jesús Carranza; José Azueta; Los Reyes; Magdale-na; Nogales; Pajapan; San Juan Evangelista; Santiago Tuxtla; Soteapan; Tehuipango; Tequila; Tlalix-coyan; Tlaquilpa; Tlilapan; Catemaco; Alvarado; Boca del Río, La Antigua; Ángel R. Cabada; Lerdo de Tejada; Actopan; Playa Vicente; Saltabarranca; San Andrés Tuxtla; Úrsulo Galván; Coatzacoalcos; Acultzingo; Álamo Temapache; Tres Valles; Veracruz; Amatitlán; Cosoleacaque; Texistepec; y Tlaco-talpan",44,28/10/2024,"Educativo, Carretero, Hidráulico, Vial Urbano y Vivienda",20031,https://www.dof.gob.mx/nota_detalle.php?codigo=5742173&fecha=04/11/2024,20067,20084,SSPC/CNPC/DGGR/00733/2024 y SSPC/CNPC/DGGR/00002/2025,sin dato,2024
